Start Position,End Position,Annotation,Group
167,176,REASON,1_ACC024
251,272,REASON,1_BCC332
318,389,MEDICATION,1_BCC332
443,471,MEDICATION,1_AAC072
484,503,REASON,1_AAC072
593,608,MEDICATION,1_AAA465
975,997,REASON,1_CAA958
1027,1037,MEDICATION,1_CAA958
999,1013,DOSE,1_CAA958
2922,2927,MEDICATION,1_AAA126
3416,3423,MEDICATION,1_CCC478
3403,3415,MODE,1_CCC478
3900,3910,MEDICATION,1_ABC692
3915,3918,DOSE,1_ABC692
3919,3921,FREQUENCY,1_ABC692
3922,3931,MEDICATION,2_CCA513
3936,3941,DOSE,2_CCA513
3942,3945,FREQUENCY,2_CCA513
3900,3918,MEDICATION,3_AAC212
3956,3962,DOSE,3_AAC212
3963,3969,MODE,3_AAC212
3970,3977,FREQUENCY,3_AAC212
3900,3910,MEDICATION,4_ACA200
3993,3998,DOSE,4_ACA200
3999,4001,FREQUENCY,4_ACA200
4583,4608,REASON,1_ACB455
5020,5033,MEDICATION,1_BCB322
4990,5012,DURATION,1_BCB322
5507,5549,DURATION,1_CCC757
5673,5690,DURATION,1_CBB656
6718,6744,MEDICATION,1_BBC134
6772,6786,MEDICATION,1_CBB193
6872,6883,FREQUENCY,1_CBB193
6797,6803,MEDICATION,2_BAA899
6805,6816,DOSE,2_BAA899
6872,6883,FREQUENCY,2_BAA899
6821,6836,MEDICATION,3_CBA066
6872,6883,FREQUENCY,3_CBA066
6865,6870,DOSE,3_CBA066
6872,6883,FREQUENCY,4_CAC960
6865,6870,DOSE,4_CAC960
6846,6863,MEDICATION,4_CAC960
7172,7180,REASON,1_BAA488
7351,7364,MEDICATION,1_CCC653
7373,7382,MODE,1_CCC653
7422,7433,FREQUENCY,1_CCC653
7513,7541,FREQUENCY,1_CBC598
7693,7719,MEDICATION,1_BAB536
7743,7763,MEDICATION,1_CBA288
